"Date","Price","Open","High","Low","Change %"
"02/15/2024","94.77","94.76","94.77","94.76","-0.24%"
"02/07/2024","95.00","94.96","95.00","94.96","-0.37%"
"01/26/2024","95.35","95.35","95.35","95.35","-0.05%"
"01/18/2024","95.40","95.40","95.40","95.40","-0.41%"
"01/10/2024","95.79","95.79","95.79","95.79","0.10%"
"01/05/2024","95.69","95.69","95.69","95.69","-1.14%"
"01/02/2024","96.79","96.79","96.79","96.79","0.82%"
"12/29/2023","96.00","96.00","96.00","96.00","-0.10%"
"12/28/2023","96.10","96.10","96.10","96.10","0.63%"
"12/21/2023","95.50","95.50","95.50","95.50","-0.10%"
"12/18/2023","95.60","95.64","95.64","95.60","-0.21%"
"12/15/2023","95.80","94.86","95.80","94.86","0.02%"
"12/08/2023","95.78","95.78","95.78","95.78","1.35%"
"12/04/2023","94.50","94.50","94.50","94.50","0.00%"
"12/01/2023","94.50","94.50","94.50","94.50","0.64%"
"11/28/2023","93.90","92.87","93.90","92.87","0.77%"
"11/03/2023","93.18","93.18","93.18","93.18","1.39%"
"10/24/2023","91.90","91.90","91.90","91.90","0.11%"
"10/18/2023","91.80","91.80","91.80","91.80","-0.92%"
"10/13/2023","92.65","92.65","92.65","92.65","0.43%"
"10/09/2023","92.25","92.25","92.25","92.25","0.38%"
"09/28/2023","91.90","91.90","91.90","91.90","-0.76%"
"09/25/2023","92.60","92.60","92.60","92.60","-0.42%"
"09/15/2023","92.99","92.99","92.99","92.99","-1.65%"
"09/13/2023","94.55","94.55","94.55","94.55","1.34%"
"08/28/2023","93.30","93.30","93.30","93.30","-0.05%"
"08/24/2023","93.35","93.35","93.35","93.35","0.16%"
"08/16/2023","93.20","93.20","93.20","93.20","-0.52%"
"08/11/2023","93.69","93.69","93.69","93.69","-1.21%"
"08/07/2023","94.84","94.84","94.84","94.84","1.27%"
"08/03/2023","93.65","93.65","93.65","93.65","-0.21%"
"08/02/2023","93.85","93.85","93.85","93.85","-0.36%"
"07/31/2023","94.19","94.19","94.19","94.19","0.10%"
"07/25/2023","94.10","94.10","94.10","94.10","-0.69%"
"07/13/2023","94.75","94.75","94.75","94.75","1.07%"
"06/30/2023","93.75","93.75","93.75","93.75","-1.62%"
"06/07/2023","95.29","95.29","95.29","95.29","0.00%"
"05/30/2023","95.29","95.29","95.29","95.29","-0.22%"
"05/25/2023","95.50","95.50","95.50","95.50","0.16%"
"05/23/2023","95.35","95.35","95.35","95.35","-0.99%"
"05/16/2023","96.30","96.35","96.35","96.30","0.10%"
"05/08/2023","96.20","96.20","96.20","96.20","-0.89%"
"05/03/2023","97.06","97.06","97.06","97.06","1.15%"
"04/21/2023","95.96","95.96","95.96","95.96","-0.29%"
"04/20/2023","96.24","96.24","96.24","96.24","-0.27%"
"04/17/2023","96.50","96.50","96.50","96.50","0.09%"
"04/05/2023","96.41","96.41","96.41","96.41","0.46%"
